Innings,Venue,Start_Date,End_Date,Player_Name,Team,Total_Impact,Runs,Impact_Runs,Batting_Impact,Bowl,Impact_Wickets,Bowling_Impact,Balls_Faced,Wickets,Runs_Conceded
1st Match (N),Chennai,22-March-2024,22-March-2024,Mustafizur Rahman,CSK,141.23,0,-,0,4/29,6.09,141.23,0,4,29
1st Match (N),Chennai,22-March-2024,22-March-2024,Rachin Ravindra,CSK,72.61,37,49.32,72.61,-,-,0,15,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Anuj Rawat,RCB,71.46,48,58.94,71.46,-,-,0,25,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Ravindra Jadeja,CSK,52.94,25,25.99,26.78,0/21,-,26.16,17,0,21
1st Match (N),Chennai,22-March-2024,22-March-2024,Cameron Green,RCB,52.93,18,10.53,- 3.18,2/27,2.95,56.11,22,2,27
1st Match (N),Chennai,22-March-2024,22-March-2024,Deepak Chahar,CSK,40.88,0,-,0,1/37,1.85,40.88,0,1,37
1st Match (N),Chennai,22-March-2024,22-March-2024,Faf du Plessis,RCB,38.9,35,38.44,38.9,-,-,0,23,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Dinesh Karthik,RCB,36.06,38,36.86,36.06,-,-,0,26,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Ajinkya Rahane,CSK,33.46,27,29.09,33.46,-,-,0,19,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Yash Dayal,RCB,29.54,0,-,0,1/28,1.64,29.54,0,1,28
1st Match (N),Chennai,22-March-2024,22-March-2024,Mayank Dagar,RCB,20.17,0,-,0,0/6,-,20.17,0,0,6
1st Match (N),Chennai,22-March-2024,22-March-2024,Shivam Dube,CSK,19.04,34,28.36,19.04,-,-,0,28,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Daryl Mitchell,CSK,18.61,22,20.18,18.61,-,-,0,18,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Karn Sharma,RCB,15.49,0,-,0,1/24,1.34,15.49,0,1,24
1st Match (N),Chennai,22-March-2024,22-March-2024,Virat Kohli,RCB,10.09,21,18.19,10.09,-,-,0,20,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Ruturaj Gaikwad,CSK,8.38,15,12.97,8.38,-,-,0,15,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Glenn Maxwell,RCB,3.64,0,- 1.05,- 2.32,0/7,-,5.97,1,0,7
1st Match (N),Chennai,22-March-2024,22-March-2024,Maheesh Theekshana,CSK,1.03,0,-,0,0/36,-,1.03,0,0,36
1st Match (N),Chennai,22-March-2024,22-March-2024,Mohammed Siraj,RCB,0.01,0,-,0,0/38,-,0.01,0,0,38
1st Match (N),Chennai,22-March-2024,22-March-2024,Sameer Rizvi,CSK,0,0,-,0,-,-,0,0,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,MS Dhoni,CSK,0,0,-,0,-,-,0,0,0,0
1st Match (N),Chennai,22-March-2024,22-March-2024,Tushar Deshpande,CSK,- 1.11,0,-,0,0/47,-,- 1.11,0,0,47
1st Match (N),Chennai,22-March-2024,22-March-2024,Alzarri Joseph,RCB,- 2.58,0,-,0,0/38,-,- 2.58,0,0,38
1st Match (N),Chennai,22-March-2024,22-March-2024,Rajat Patidar,RCB,- 6.34,0,- 2.68,- 6.34,-,-,0,3,0,0
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Kuldeep Yadav,DC,80.47,1,- 0.91,- 0.92,2/20,3.17,81.39,2,2,20
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Abishek Porel,DC,68.62,32,49.06,68.62,-,-,0,10,0,0
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Arshdeep Singh,PBKS,64.35,0,-,0,2/28,2.14,64.35,0,2,28
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Sam Curran,PBKS,56.23,63,61.49,55.06,0/10,-,1.17,47,0,10
