Inning,Venue,Team,Start Date,End Date,Bowling_Player,Wickets,M,R,W,ECON,0s,4s,6s,WD,NB
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Praveen Kumar,4,0,38,0,950,13,3,3,1,0
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Zaheer Khan,4,0,38,1,950,8,3,2,0,0
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Ashley Noffke,4,0,40,1,1000,7,2,2,1,0
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Jacques Kallis,4,0,48,1,1200,9,5,3,1,0
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Sunil Joshi,3,0,26,0,866,4,0,2,0,0
1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Cameron White,1,0,24,0,2400,0,2,2,1,0
1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Ashok Dinda,3,0,9,2,300,11,0,0,2,0
1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Ishant Sharma,3,0,7,1,233,13,0,0,1,0
1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Ajit Agarkar,4,0,25,3,625,15,2,1,4,0
1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Sourav Ganguly,4,0,21,2,525,13,1,1,1,0
1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Laxmi Shukla,11,0,12,1,1028,3,0,1,2,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Brett Lee,4,0,35,1,875,12,5,1,0,1
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Sreesanth,3,0,35,0,1166,5,5,1,1,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,James Hopes,4,0,53,1,1325,8,2,6,0,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Irfan Pathan,4,0,47,2,1175,6,4,3,0,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Karan Goel,2,0,25,0,1250,2,1,2,0,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Piyush Chawla,1,0,19,0,1900,1,1,2,0,0
2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Wilkin Mota,2,0,24,1,1200,2,2,1,2,0
2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Jacob Oram,4,0,37,0,925,6,6,0,0,0
2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Manpreet Gony,4,0,42,1,1050,7,2,3,2,0
2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Muthiah Muralidaran,4,0,33,1,825,7,1,2,1,0
2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Palani Amarnath,4,0,42,1,1050,4,5,1,0,0
2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Joginder Sharma,4,0,47,1,1175,5,4,3,1,0
3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Glenn McGrath,4,1,21,1,525,16,2,1,1,0
3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Brett Geeves,4,0,41,0,1025,8,7,0,0,0
3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Farveez Maharoof,4,0,11,2,275,13,0,0,0,0
3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Rajat Bhatia,4,0,17,2,425,13,1,0,1,0
3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Daniel Vettori,4,0,35,1,875,8,3,2,0,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Munaf Patel,3,0,25,0,833,10,4,1,0,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Shane Watson,4,0,31,1,775,9,5,0,1,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Siddharth Trivedi,3,0,32,0,1066,6,5,0,3,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Shane Warne,2,0,16,0,800,2,2,0,0,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Yusuf Pathan,21,0,17,0,784,4,2,0,1,0
3rd match (N),Delhi,DC,19-April-2008,19-April-2008,Dinesh Salunkhe,1,0,11,0,1100,0,0,0,1,0
55th match (D/N),Mohali,DC,25-May-2014,25-May-2014,Parvinder Awana,3,1,15,2,500,12,3,0,0,0
55th match (D/N),Mohali,DC,25-May-2014,25-May-2014,Axar Patel,4,0,28,2,700,12,5,0,0,0
55th match (D/N),Mohali,DC,25-May-2014,25-May-2014,Mitchell Johnson,31,0,27,2,852,9,5,0,0,0
55th match (D/N),Mohali,DC,25-May-2014,25-May-2014,Karanveer Singh,4,0,22,2,550,8,1,0,0,0
55th match (D/N),Mohali,DC,25-May-2014,25-May-2014,Rishi Dhawan,4,0,22,1,550,11,1,0,2,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,Mohammed Shami,3,0,26,1,866,9,3,1,2,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,Jaydev Unadkat,2,0,3,1,150,10,0,0,0,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,James Neesham,1,0,14,0,1400,3,2,1,0,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,JeanPaul Duminy,2,0,15,0,750,5,1,0,1,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,Imran Tahir,35,0,32,1,834,8,3,1,2,0
55th match (D/N),Mohali,KXIP,25-May-2014,25-May-2014,Shahbaz Nadeem,2,0,24,0,1200,2,1,1,1,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Corey Anderson,2,0,14,0,700,7,3,0,0,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Jasprit Bumrah,4,1,30,1,750,11,3,1,1,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Pragyan Ojha,4,0,31,0,775,10,2,2,1,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Harbhajan Singh,4,0,43,1,1075,7,3,3,0,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Shreyas Gopal,3,0,36,1,1200,3,3,2,0,0
56th match (N),Wankhede,RR,25-May-2014,25-May-2014,Kieron Pollard,3,0,33,1,1100,4,3,1,1,0
56th match (N),Wankhede,MI,25-May-2014,25-May-2014,James Faulkner,34,0,54,0,1472,5,5,4,1,0
56th match (N),Wankhede,MI,25-May-2014,25-May-2014,Dhawal Kulkarni,3,0,42,2,1400,7,2,4,2,0
56th match (N),Wankhede,MI,25-May-2014,25-May-2014,Shane Watson,2,0,33,0,1650,2,6,1,0,0
56th match (N),Wankhede,MI,25-May-2014,25-May-2014,Kevon Cooper,4,0,38,2,950,9,3,2,0,0
56th match (N),Wankhede,MI,25-May-2014,25-May-2014,Pravin Tambe,2,0,25,0,1250,2,3,1,1,0
Qualifier 1 (D/N),Eden Gardens,KKR,27-May-2014,28-May-2014,Parvinder Awana,4,0,33,0,825,10,6,0,0,0
Qualifier 1 (D/N),Eden Gardens,KKR,27-May-2014,28-May-2014,Mitchell Johnson,4,0,31,2,775,10,3,1,2,0
Qualifier 1 (D/N),Eden Gardens,KKR,27-May-2014,28-May-2014,Axar Patel,4,1,11,2,275,16,1,0,0,0
Qualifier 1 (D/N),Eden Gardens,KKR,27-May-2014,28-May-2014,Rishi Dhawan,4,0,44,0,1100,6,3,3,0,0
Qualifier 1 (D/N),Eden Gardens,KKR,27-May-2014,28-May-2014,Karanveer Singh,4,0,40,3,1000,7,4,2,1,0
Qualifier 1 (D/N),Eden Gardens,KXIP,27-May-2014,28-May-2014,Morne Morkel,4,0,23,2,575,15,0,2,1,0
Qualifier 1 (D/N),Eden Gardens,KXIP,27-May-2014,28-May-2014,Umesh Yadav,4,0,13,3,325,16,1,0,1,0
Qualifier 1 (D/N),Eden Gardens,KXIP,27-May-2014,28-May-2014,Sunil Narine,4,0,30,0,750,9,3,1,0,0
Qualifier 1 (D/N),Eden Gardens,KXIP,27-May-2014,28-May-2014,Shakib Al Hasan,4,0,43,1,1075,7,0,5,0,0
Qualifier 1 (D/N),Eden Gardens,KXIP,27-May-2014,28-May-2014,Piyush Chawla,4,0,23,1,575,8,0,1,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Ashish Nehra,4,0,34,2,850,9,3,2,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Ishwar Pandey,3,0,25,0,833,8,5,0,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Mohit Sharma,4,0,42,3,1050,7,5,2,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Ravichandran Ashwin,4,0,26,1,650,12,0,2,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Ravindra Jadeja,4,0,31,2,775,6,0,2,0,0
Eliminator (N),Brabourne,MI,28-May-2014,28-May-2014,Suresh Raina,1,0,13,0,1300,1,1,1,0,0
Eliminator (N),Brabourne,CSK,28-May-2014,28-May-2014,Praveen Kumar,4,0,27,0,675,8,1,1,0,0
Eliminator (N),Brabourne,CSK,28-May-2014,28-May-2014,Corey Anderson,3,0,35,0,1166,5,5,1,1,0
Eliminator (N),Brabourne,CSK,28-May-2014,28-May-2014,Jasprit Bumrah,34,0,40,0,1090,8,8,0,1,0
