Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,RCB,222,3,82,10,223,20,15.1,20,20,KKR won by 140 runs
2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,KXIP,240,5,207,4,241,20,20,20,20,CSK won by 33 runs
3rd match (N),Delhi,19-April-2008,19-April-2008,RR,DC,129,8,132,1,130,20,15.1,20,20,Daredevils won by 9 wickets (with 29 balls remaining)
4th match (D/N),Eden Gardens,20-April-2008,20-April-2008,DCH,KKR,110,10,112,5,111,18.4,19,20,20,KKR won by 5 wickets (with 6 balls remaining)
5th match (N),Wankhede,20-April-2008,20-April-2008,MI,RCB,165,6,166,5,166,20,19.4,20,20,RCB won by 5 wickets (with 2 balls remaining)
6th match (N),Jaipur,21-April-2008,21-April-2008,KXIP,RR,166,8,168,4,167,20,18.1,20,20,RR won by 6 wickets (with 11 balls remaining)
7th match (N),Hyderabad,22-April-2008,22-April-2008,DCH,DC,142,8,143,1,143,20,13,20,20,Daredevils won by 9 wickets (with 42 balls remaining)
8th match (N),Chennai,23-April-2008,23-April-2008,CSK,MI,208,5,202,7,209,20,20,20,20,CSK won by 6 runs
9th match (N),Hyderabad,24-April-2008,24-April-2008,DCH,RR,214,5,217,7,215,20,19.5,20,20,RR won by 3 wickets (with 1 ball remaining)
10th match (N),Mohali,25-April-2008,25-April-2008,KXIP,MI,182,10,116,9,183,20,20,20,20,Kings XI won by 66 runs
11th match (D/N),Chennai,26-April-2008,26-April-2008,KKR,CSK,147,9,152,1,148,20,17,20,20,CSK won by 9 wickets (with 18 balls remaining)
12th match (N),Bengaluru,26-April-2008,26-April-2008,RCB,RR,135,8,138,3,136,20,17.1,20,20,RR won by 7 wickets (with 17 balls remaining)
13th match (D/N),Mohali,27-April-2008,27-April-2008,DC,KXIP,158,8,162,6,159,20,19.3,20,20,Kings XI won by 4 wickets (with 3 balls remaining)
14th match (N),DY Patil,27-April-2008,27-April-2008,MI,DCH,154,7,155,0,155,20,12,20,20,Chargers won by 10 wickets (with 48 balls remaining)
15th match (N),Bengaluru,28-April-2008,28-April-2008,CSK,RCB,178,5,165,10,179,20,19.4,20,20,CSK won by 13 runs
16th match (N),Eden Gardens,29-April-2008,29-April-2008,KKR,MI,137,8,138,3,138,20,18.4,20,20,MI won by 7 wickets (with 8 balls remaining)
17th match (N),Delhi,30-April-2008,30-April-2008,DC,RCB,191,5,181,5,192,20,20,20,20,Daredevils won by 10 runs
18th match (D/N),Jaipur,01-May-2008,01-May-2008,RR,KKR,196,7,151,10,197,20,19.1,20,20,RR won by 45 runs
19th match (N),Hyderabad,01-May-2008,01-May-2008,DCH,KXIP,164,8,167,3,165,20,18.5,20,20,Kings XI won by 7 wickets (with 7 balls remaining)
20th match (N),Chennai,02-May-2008,02-May-2008,CSK,DC,169,6,172,2,170,20,19,20,20,Daredevils won by 8 wickets (with 6 balls remaining)
21st match (D/N),Bengaluru,03-May-2008,03-May-2008,RCB,DCH,156,8,153,6,157,20,20,20,20,RCB won by 3 runs
22nd match (N),Mohali,03-May-2008,03-May-2008,KXIP,KKR,178,6,169,6,179,20,20,20,20,Kings XI won by 9 runs
23rd match (D/N),DY Patil,04-May-2008,04-May-2008,MI,DC,162,8,133,10,163,20,18.5,20,20,MI won by 29 runs
24th match (N),Jaipur,04-May-2008,04-May-2008,CSK,RR,109,10,110,2,110,19,14.2,20,20,RR won by 8 wickets (with 34 balls remaining)
25th match (N),Bengaluru,05-May-2008,05-May-2008,RCB,KXIP,126,10,127,4,127,19.2,18.2,20,20,Kings XI won by 6 wickets (with 10 balls remaining)
26th match (N),Chennai,06-May-2008,06-May-2008,CSK,DCH,144,7,148,3,145,20,18,20,20,Chargers won by 7 wickets (with 12 balls remaining)
27th match (N),DY Patil,07-May-2008,07-May-2008,RR,MI,103,10,104,3,104,16.2,15.1,20,20,MI won by 7 wickets (with 29 balls remaining)
28th match (D/N),Delhi,08-May-2008,08-May-2008,DC,CSK,187,5,188,6,188,20,20,20,20,CSK won by 4 wickets (with 0 balls remaining)
29th match (N),Eden Gardens,08-May-2008,08-May-2008,KKR,RCB,16,10,124,4,17,16,16,16,16,KKR won by 5 runs
30th match (N),Jaipur,09-May-2008,09-May-2008,DCH,RR,140,8,141,2,141,20,16,20,20,RR won by 8 wickets (with 24 balls remaining)
31st match (N),Chennai,10-May-2008,10-May-2008,CSK,KXIP,181,4,163,9,182,20,20,20,20,CSK won by 18 runs
