Innings,Venue,Start_Date,End_Date,Team,Player1,Player2,Player1_Runs,Player1_Balls,Partnership_Runs,Partnership_Balls,Player2_Runs,Player2_Balls
1st Match (N),Chennai,22-March-2024,22-March-2024,Stats,R Ravindra,RD Gaikwad,22,9,38,24,15,15
1st Match (N),Chennai,22-March-2024,22-March-2024,Stats,AM Rahane,R Ravindra,17,12,33,18,15,6
1st Match (N),Chennai,22-March-2024,22-March-2024,Stats,AM Rahane,DJ Mitchell,10,7,28,20,17,13
1st Match (N),Chennai,22-March-2024,22-March-2024,Stats,DJ Mitchell,S Dube,5,5,11,13,6,8
1st Match (N),Chennai,22-March-2024,22-March-2024,Stats,RA Jadeja,S Dube,25,17,66,37,28,20
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,DA Warner,MR Marsh,11,8,39,20,20,12
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,DA Warner,SD Hope,18,13,35,28,17,15
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,SD Hope,RR Pant,16,10,20,16,4,6
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,RK Bhui,RR Pant,3,5,17,12,14,7
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,T Stubbs,RK Bhui,0,2,0,4,0,2
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,AR Patel,T Stubbs,12,8,17,14,5,6
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,AR Patel,Sumit Kumar,9,5,10,9,1,4
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,Sumit Kumar,Abishek Porel,1,5,9,8,6,3
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,Kuldeep Yadav,Abishek Porel,1,2,27,9,26,7
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,S Dhawan,JM Bairstow,22,16,34,19,9,3
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,JM Bairstow,Prabhsimran Singh,0,0,8,4,8,4
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,SM Curran,Prabhsimran Singh,22,20,42,33,18,13
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,SM Curran,JM Sharma,7,4,16,13,9,9
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,LS Livingstone,SM Curran,32,19,67,42,34,23
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,Shashank Singh,LS Livingstone,0,1,0,1,0,0
2nd Match (D/N),Mullanpur,23-March-2024,23-March-2024,Stats,LS Livingstone,Harpreet Brar,6,2,10,4,2,2
